FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
43,43,Flevoland,FL,Flevoland,0.038,0.065,0.043,0.03,0.005
44,44,Fribourg,FR,Fribourg,0.028,0.052,0.042,0.02,0.003
45,45,Friesland,FR,Friesland,0.044,0.072,0.047,0.034,0.005
46,46,Friuli-V-Giulia,FVG,Friuli-V-Giulia,0.045,0.075,0.052,0.024,0.002
47,47,Galicia,GAL,Galicia,0.068,0.102,0.125,0.055,0.002
48,48,Gelderland,GE,Gelderland,0.035,0.06,0.04,0.027,0.005
49,49,Genève,GE,Genève,0.032,0.058,0.048,0.025,0.003
50,50,Grand Est,GES,Grand Est,0.072,0.108,0.088,0.048,0.001
51,51,Graubünden,GR,Graubünden,0.028,0.052,0.038,0.02,0.003
52,52,Greater Poland,WIE,Greater Poland,0.045,0.075,0.032,0.04,0.042
53,53,Groningen,GR,Groningen,0.048,0.078,0.051,0.038,0.005
54,54,Gävleborg,X,Gävleborg,0.055,0.088,0.085,0.045,0.0
55,55,Hainaut,HAI,Hainaut,0.082,0.118,0.148,0.06,0.012
56,56,Halland,N,Halland,0.042,0.07,0.06,0.03,0.0
57,57,Hamburg,HH,Hamburg,0.065,0.097,0.065,0.04,0.002
58,58,Hauts-de-France,HDF,Hauts-de-France,0.085,0.122,0.115,0.062,0.001
59,59,Hessen,HE,Hessen,0.049,0.078,0.045,0.028,0.002
60,60,Holy Cross,SWI,Holy Cross,0.068,0.103,0.062,0.062,0.042
61,61,Hovedstaden,KBH,Hovedstaden,0.038,0.065,0.055,0.028,0.0
62,62,Ile-de-France,IDF,Ile-de-France,0.068,0.105,0.07,0.04,0.001
63,63,Innlandet,INN,Innlandet,0.028,0.052,0.03,0.018,0.0
64,64,Jönköping,F,Jönköping,0.045,0.075,0.065,0.032,0.0
65,65,Kalmar,H,Kalmar,0.048,0.078,0.068,0.035,0.0
66,66,Kronoberg,G,Kronoberg,0.045,0.075,0.065,0.032,0.0
67,67,Kuyavian-Pomer,KUP,Kuyavian-Pomer,0.055,0.088,0.048,0.05,0.042
68,68,Kärnten,KA,Kärnten,0.05,0.082,0.068,0.035,0.005
69,69,La Rioja,LRI,La Rioja,0.055,0.088,0.095,0.04,0.002
70,70,Lazio,LAZ,Lazio,0.072,0.11,0.095,0.048,0.002
71,71,Lesser Poland,MAL,Lesser Poland,0.05,0.082,0.04,0.045,0.042
72,72,Liguria,LIG,Liguria,0.06,0.094,0.068,0.03,0.002
73,73,Limburg,LIM,Limburg,0.048,0.078,0.058,0.03,0.012
74,74,Lisboa,LIS,Lisboa,0.085,0.122,0.062,0.055,0.004
75,75,Liège,LGE,Liège,0.075,0.11,0.138,0.055,0.012
76,76,Lombardia,LOM,Lombardia,0.055,0.088,0.06,0.028,0.002
77,77,Lower Silesian,DSL,Lower Silesian,0.052,0.084,0.042,0.044,0.042
78,78,Lublin,LUB,Lublin,0.068,0.103,0.062,0.062,0.042
79,79,Lubusz,LBS,Lubusz,0.058,0.09,0.05,0.052,0.042
80,80,Luxembourg,LUX,Luxembourg,0.048,0.078,0.052,0.028,0.012
81,81,Luzern,LU,Luzern,0.025,0.048,0.038,0.018,0.003
82,82,Madeira,MAD,Madeira,0.082,0.118,0.068,0.06,0.004
83,83,Marche,MAR,Marche,0.055,0.088,0.065,0.028,0.002
84,84,Masovian,MAZ,Masovian,0.048,0.078,0.038,0.042,0.042
85,85,Mecklenburg-Vorp,MV,Mecklenburg-Vorp,0.063,0.094,0.082,0.044,0.002
86,86,Midtjylland,MJY,Midtjylland,0.038,0.065,0.052,0.026,0.0
87,87,Molise,MOL,Molise,0.1,0.138,0.155,0.072,0.002
88,88,Murcia,MUR,Murcia,0.085,0.122,0.155,0.062,0.002
89,89,Møre og Romsd,MOR,Møre og Romsd,0.028,0.052,0.028,0.018,0.0
90,90,Namur,NAM,Namur,0.058,0.091,0.082,0.038,0.012
91,91,Navarra,NAV,Navarra,0.045,0.075,0.078,0.032,0.002
92,92,Neuchâtel,NE,Neuchâtel,0.035,0.062,0.048,0.025,0.003
93,93,Niedersachsen,NI,Niedersachsen,0.05,0.08,0.05,0.03,0.002
94,94,Niederösterreich,NO,Niederösterreich,0.045,0.074,0.058,0.03,0.005
95,95,Noord-Brabant,NB,Noord-Brabant,0.033,0.057,0.039,0.026,0.005
96,96,Noord-Holland,NH,Noord-Holland,0.037,0.062,0.041,0.028,0.005
97,97,Nordjylland,NJY,Nordjylland,0.04,0.068,0.058,0.03,0.0
98,98,Nordland,NOR,Nordland,0.032,0.058,0.035,0.022,0.0
99,99,Nordrhein-Westfalen,NW,Nordrhein-Westfalen,0.058,0.089,0.062,0.035,0.002
100,100,Normandie,NOR,Normandie,0.068,0.104,0.082,0.046,0.001
101,101,Norrbotten,BD,Norrbotten,0.052,0.084,0.078,0.042,0.0
102,102,Norte,NOR,Norte,0.092,0.13,0.068,0.06,0.004
103,103,Nouvelle-Aquitaine,NAQ,Nouvelle-Aquitaine,0.065,0.102,0.08,0.045,0.001
104,104,Oberösterreich,OO,Oberösterreich,0.04,0.068,0.048,0.025,0.005
105,105,Obwalden,OW,Obwalden,0.022,0.045,0.032,0.016,0.003
106,106,Occitanie,OCC,Occitanie,0.078,0.115,0.1,0.055,0.001
107,107,Oost-Vlaanderen,OVL,Oost-Vlaanderen,0.048,0.078,0.05,0.028,0.012
108,108,Opole,OPO,Opole,0.052,0.084,0.042,0.046,0.042
109,109,Oslo,OSL,Oslo,0.035,0.06,0.042,0.025,0.0
110,110,Overijssel,OV,Overijssel,0.036,0.062,0.041,0.028,0.005
111,111,Pays de la Loire,PDL,Pays de la Loire,0.055,0.088,0.062,0.035,0.001
112,112,País Vasco,EUS,País Vasco,0.048,0.078,0.082,0.035,0.002
113,113,Piemonte,PIE,Piemonte,0.058,0.091,0.072,0.032,0.002
114,114,Podkarpackian,PKR,Podkarpackian,0.065,0.1,0.058,0.06,0.042
115,115,Podlaskie,PDL,Podlaskie,0.062,0.096,0.055,0.058,0.042
116,116,Pomeranian,POM,Pomeranian,0.048,0.078,0.038,0.042,0.042
117,117,Prov-Alpes-Cote-Azur,PAC,Prov-Alpes-Cote-Azur,0.062,0.098,0.075,0.042,0.001
118,118,Puglia,PUG,Puglia,0.105,0.143,0.19,0.08,0.002
119,119,Rheinland-Pfalz,RP,Rheinland-Pfalz,0.046,0.074,0.04,0.025,0.002
120,120,Rogaland,ROG,Rogaland,0.03,0.055,0.032,0.018,0.0
121,121,Saarland,SL,Saarland,0.053,0.083,0.06,0.033,0.002
122,122,Sachsen,SN,Sachsen,0.055,0.086,0.072,0.038,0.002
123,123,Sachsen-Anhalt,ST,Sachsen-Anhalt,0.062,0.093,0.08,0.042,0.002
124,124,Salzburg,SB,Salzburg,0.038,0.065,0.042,0.022,0.005
125,125,Sardegna,SAR,Sardegna,0.092,0.13,0.145,0.065,0.002
126,126,Schaffhausen,SH,Schaffhausen,0.025,0.048,0.038,0.018,0.003
127,127,Schleswig-Holstein,SH,Schleswig-Holstein,0.047,0.075,0.045,0.028,0.002
128,128,Schwyz,SZ,Schwyz,0.022,0.045,0.032,0.016,0.003
129,129,Sicilia,SIC,Sicilia,0.125,0.165,0.22,0.09,0.002
130,130,Silesian,SLA,Silesian,0.058,0.09,0.05,0.048,0.042
131,131,Sjælland,SJL,Sjælland,0.042,0.07,0.062,0.032,0.0
132,132,Skåne,M,Skåne,0.052,0.082,0.082,0.042,0.0
133,133,Solothurn,SO,Solothurn,0.028,0.052,0.04,0.02,0.003
134,134,St. Gallen,SG,St. Gallen,0.025,0.048,0.038,0.018,0.003
135,135,Steiermark,ST,Steiermark,0.048,0.078,0.062,0.032,0.005
136,136,Stockholm,AB,Stockholm,0.045,0.072,0.068,0.035,0.0
137,137,Subcarpathian,PGO,Subcarpathian,0.065,0.1,0.058,0.06,0.042
138,138,Syddanmark,SYD,Syddanmark,0.04,0.068,0.058,0.03,0.0
139,139,Södermanland,D,Södermanland,0.048,0.078,0.072,0.038,0.0
140,140,Thurgau,TG,Thurgau,0.025,0.048,0.038,0.018,0.003
141,141,Thüringen,TH,Thüringen,0.058,0.088,0.068,0.038,0.002
142,142,Ticino,TI,Ticino,0.03,0.055,0.042,0.022,0.003
143,143,Tirol,TI,Tirol,0.04,0.068,0.045,0.025,0.005
144,144,Toscana,TOS,Toscana,0.05,0.082,0.058,0.026,0.002
145,145,Trentino-AA,TAA,Trentino-AA,0.038,0.065,0.038,0.018,0.002
146,146,Troms-Finnmark,TFI,Troms-Finnmark,0.035,0.062,0.038,0.025,0.0
147,147,Trøndelag,TRO,Trøndelag,0.028,0.052,0.03,0.018,0.0
148,148,Umbria,UMB,Umbria,0.058,0.091,0.075,0.032,0.002
149,149,Uppsala,C,Uppsala,0.04,0.068,0.058,0.03,0.0
150,150,Utrecht,UT,Utrecht,0.031,0.055,0.037,0.025,0.005
151,151,Valais,VS,Valais,0.03,0.055,0.042,0.022,0.003
152,152,Valencia,VAL,Valencia,0.078,0.115,0.148,0.058,0.002
153,153,Valle dAosta,VDA,Valle dAosta,0.04,0.067,0.042,0.02,0.002
154,154,Vaud,VD,Vaud,0.03,0.055,0.045,0.022,0.003
155,155,Veneto,VEN,Veneto,0.048,0.079,0.05,0.022,0.002
156,156,Vestfold-Telem,VTL,Vestfold-Telem,0.03,0.055,0.035,0.02,0.0
157,157,Vestland,VST,Vestland,0.028,0.052,0.03,0.018,0.0
158,158,Viken,VKN,Viken,0.03,0.055,0.035,0.02,0.0
159,159,Vorarlberg,VB,Vorarlberg,0.038,0.065,0.042,0.022,0.005
160,160,Västerbotten,AC,Västerbotten,0.05,0.082,0.075,0.04,0.0
161,161,Västernorrland,Y,Västernorrland,0.058,0.09,0.088,0.048,0.0
162,162,Västra Götaland,O,Västra Götaland,0.048,0.078,0.07,0.038,0.0
163,163,Warmian-Masurian,WRM,Warmian-Masurian,0.072,0.108,0.068,0.066,0.042
164,164,West Pomeranian,ZPM,West Pomeranian,0.052,0.084,0.045,0.046,0.042
165,165,West-Vlaanderen,WVL,West-Vlaanderen,0.045,0.075,0.045,0.026,0.012
166,166,Wien,W,Wien,0.058,0.09,0.118,0.042,0.005
167,167,Zeeland,ZE,Zeeland,0.034,0.058,0.039,0.026,0.005
168,168,Zuid-Holland,ZH,Zuid-Holland,0.042,0.071,0.045,0.03,0.005
169,169,Zürich,ZH,Zürich,0.025,0.048,0.038,0.018,0.003
170,170,Örebro,T,Örebro,0.05,0.082,0.078,0.04,0.0
171,171,Östergötland,E,Östergötland,0.048,0.078,0.072,0.038,0.0
172,172,Łódź,LOD,Łódź,0.065,0.099,0.055,0.058,0.042
173,173,North East UK,NEU,North East UK,0.08,0.12,0.045,0.24,0.001
174,174,North West UK,NWU,North West UK,0.08,0.12,0.045,0.24,0.001
175,175,Yorkshire and the Humber,YOH,Yorkshire and the Humber,0.08,0.12,0.045,0.24,0.001
176,176,East Midlands,EML,East Midlands,0.08,0.12,0.045,0.24,0.001
177,177,West Midlands UK,WMU,West Midlands UK,0.08,0.12,0.045,0.24,0.001
178,178,East of England,EOE,East of England,0.08,0.12,0.045,0.24,0.001
179,179,London,LDN,London,0.08,0.12,0.045,0.24,0.001
180,180,South East UK,SEU,South East UK,0.08,0.12,0.045,0.24,0.001
181,181,South West UK,SWU,South West UK,0.08,0.12,0.045,0.24,0.001
182,182,Wales,WLS,Wales,0.08,0.12,0.045,0.24,0.001
183,183,Scotland,SCT,Scotland,0.08,0.12,0.045,0.24,0.001
184,184,Northern Ireland,NIR,Northern Ireland,0.08,0.12,0.045,0.24,0.001
185,185,Eastern and Midland,EMD,Eastern and Midland,0.07,0.1,0.05,0.18,0.001
186,186,Southern IE,SIE,Southern IE,0.07,0.1,0.05,0.18,0.001
187,187,Northern and Western,NWE,Northern and Western,0.07,0.1,0.05,0.18,0.001
188,188,Nord-Est RO,NOD,Nord-Est RO,0.06,0.1,0.05,0.2,0.001
189,189,Sud-Muntenia,SUD,Sud-Muntenia,0.06,0.1,0.05,0.2,0.001
190,190,Nord-Vest RO,NOV,Nord-Vest RO,0.06,0.1,0.05,0.2,0.001
191,191,Sud-Est RO,SUE,Sud-Est RO,0.06,0.1,0.05,0.2,0.001
192,192,București-Ilfov,BUC,București-Ilfov,0.06,0.1,0.05,0.2,0.001
193,193,Centru RO,CET,Centru RO,0.06,0.1,0.05,0.2,0.001
194,194,Sud-Vest Oltenia,SUV,Sud-Vest Oltenia,0.06,0.1,0.05,0.2,0.001
195,195,Vest RO,VES,Vest RO,0.06,0.1,0.05,0.2,0.001
196,196,Attiki,ATT,Attiki,0.06,0.1,0.13,0.2,0.001
197,197,Kentriki Makedonia,KEN,Kentriki Makedonia,0.06,0.1,0.13,0.2,0.001
198,198,Thessalia,THE,Thessalia,0.06,0.1,0.13,0.2,0.001
199,199,Dytiki Ellada,DYT,Dytiki Ellada,0.06,0.1,0.13,0.2,0.001
200,200,Kriti,KRI,Kriti,0.06,0.1,0.13,0.2,0.001
201,201,"Anatoliki Makedonia, Thraki",ANA,"Anatoliki Makedonia, Thraki",0.06,0.1,0.13,0.2,0.001
202,202,Peloponnisos,PEL,Peloponnisos,0.06,0.1,0.13,0.2,0.001
203,203,Sterea Ellada,STE,Sterea Ellada,0.06,0.1,0.13,0.2,0.001
204,204,Notio Aigaio,NOT,Notio Aigaio,0.06,0.1,0.13,0.2,0.001
205,205,Ipeiros,IPE,Ipeiros,0.06,0.1,0.13,0.2,0.001
206,206,Dytiki Makedonia,DYI,Dytiki Makedonia,0.06,0.1,0.13,0.2,0.001
207,207,Voreio Aigaio,VOR,Voreio Aigaio,0.06,0.1,0.13,0.2,0.001
208,208,Ionia Nisia,ION,Ionia Nisia,0.06,0.1,0.13,0.2,0.001
209,209,Yugozapaden,YUG,Yugozapaden,0.06,0.1,0.05,0.2,0.001
210,210,Yuzhen tsentralen,YUZ,Yuzhen tsentralen,0.06,0.1,0.05,0.2,0.001
211,211,Yugoiztochen,YUO,Yugoiztochen,0.06,0.1,0.05,0.2,0.001
212,212,Severoiztochen,SEV,Severoiztochen,0.06,0.1,0.05,0.2,0.001
213,213,Severen tsentralen,SEE,Severen tsentralen,0.06,0.1,0.05,0.2,0.001
214,214,Severozapaden,SER,Severozapaden,0.06,0.1,0.05,0.2,0.001
215,215,Budapest,BUD,Budapest,0.06,0.1,0.04,0.2,0.001
216,216,Észak-Alföld,SZA,Észak-Alföld,0.06,0.1,0.04,0.2,0.001
217,217,Pest,PES,Pest,0.06,0.1,0.04,0.2,0.001
218,218,Dél-Alföld,DLA,Dél-Alföld,0.06,0.1,0.04,0.2,0.001
219,219,Észak-Magyarország,SZK,Észak-Magyarország,0.06,0.1,0.04,0.2,0.001
220,220,Nyugat-Dunántúl,NYU,Nyugat-Dunántúl,0.06,0.1,0.04,0.2,0.001
221,221,Közép-Dunántúl,KZP,Közép-Dunántúl,0.06,0.1,0.04,0.2,0.001
222,222,Dél-Dunántúl,DLD,Dél-Dunántúl,0.06,0.1,0.04,0.2,0.001
223,223,Středočeský,STD,Středočeský,0.06,0.1,0.025,0.2,0.001
224,224,Praha,PRA,Praha,0.06,0.1,0.025,0.2,0.001
225,225,Jihomoravský,JIH,Jihomoravský,0.06,0.1,0.025,0.2,0.001
226,226,Moravskoslezský,MOA,Moravskoslezský,0.06,0.1,0.025,0.2,0.001
227,227,Ústecký,STC,Ústecký,0.06,0.1,0.025,0.2,0.001
228,228,Jihočeský,JIO,Jihočeský,0.06,0.1,0.025,0.2,0.001
229,229,Olomoucký,OLO,Olomoucký,0.06,0.1,0.025,0.2,0.001
230,230,Plzeňský,PLZ,Plzeňský,0.06,0.1,0.025,0.2,0.001
231,231,Zlínský,ZLN,Zlínský,0.06,0.1,0.025,0.2,0.001
232,232,Královéhradecký,KRL,Královéhradecký,0.06,0.1,0.025,0.2,0.001
233,233,Pardubický,PAR,Pardubický,0.06,0.1,0.025,0.2,0.001
234,234,Vysočina,VYS,Vysočina,0.06,0.1,0.025,0.2,0.001
235,235,Liberecký,LIB,Liberecký,0.06,0.1,0.025,0.2,0.001
236,236,Karlovarský,KAR,Karlovarský,0.06,0.1,0.025,0.2,0.001
237,237,Helsinki-Uusimaa,HEL,Helsinki-Uusimaa,0.06,0.1,0.07,0.2,0.001
238,238,Länsi-Suomi,LNS,Länsi-Suomi,0.06,0.1,0.07,0.2,0.001
239,239,Pohjois- ja Itä-Suomi,POH,Pohjois- ja Itä-Suomi,0.06,0.1,0.07,0.2,0.001
240,240,Etelä-Suomi,ETE,Etelä-Suomi,0.06,0.1,0.07,0.2,0.001
241,241,Åland,LAN,Åland,0.06,0.1,0.07,0.2,0.001
242,242,Jadranska Hrvatska,JAD,Jadranska Hrvatska,0.06,0.1,0.07,0.2,0.001
243,243,Panonska Hrvatska,PAN,Panonska Hrvatska,0.06,0.1,0.07,0.2,0.001
244,244,Grad Zagreb,GRA,Grad Zagreb,0.06,0.1,0.07,0.2,0.001
245,245,Sjeverna Hrvatska,SJE,Sjeverna Hrvatska,0.06,0.1,0.07,0.2,0.001
246,246,Prešovský,PRE,Prešovský,0.06,0.1,0.06,0.2,0.001
247,247,Košický,KOI,Košický,0.06,0.1,0.06,0.2,0.001
248,248,Bratislavský,BRA,Bratislavský,0.06,0.1,0.06,0.2,0.001
249,249,Žilinský,ILI,Žilinský,0.06,0.1,0.06,0.2,0.001
250,250,Nitriansky,NIT,Nitriansky,0.06,0.1,0.06,0.2,0.001
251,251,Banskobystrický,BAN,Banskobystrický,0.06,0.1,0.06,0.2,0.001
252,252,Trenčiansky,TRE,Trenčiansky,0.06,0.1,0.06,0.2,0.001
253,253,Trnavský,TRN,Trnavský,0.06,0.1,0.06,0.2,0.001
254,254,Kýpros,KPR,Kýpros,0.06,0.1,0.07,0.2,0.001
255,255,Vilniaus,VIL,Vilniaus,0.06,0.1,0.06,0.2,0.001
256,256,Kauno,KAU,Kauno,0.06,0.1,0.06,0.2,0.001
257,257,Klaipėdos,KLA,Klaipėdos,0.06,0.1,0.06,0.2,0.001
258,258,Šiaulių,IAU,Šiaulių,0.06,0.1,0.06,0.2,0.001
259,259,Panevėžio,PAE,Panevėžio,0.06,0.1,0.06,0.2,0.001
260,260,Marijampolės,MAI,Marijampolės,0.06,0.1,0.06,0.2,0.001
261,261,Telšių,TEL,Telšių,0.06,0.1,0.06,0.2,0.001
262,262,Alytaus,ALY,Alytaus,0.06,0.1,0.06,0.2,0.001
263,263,Utenos,UTE,Utenos,0.06,0.1,0.06,0.2,0.001
264,264,Tauragės,TAU,Tauragės,0.06,0.1,0.06,0.2,0.001
265,265,Põhja-Eesti,PHJ,Põhja-Eesti,0.06,0.1,0.05,0.2,0.001
266,266,Lõuna-Eesti,LUN,Lõuna-Eesti,0.06,0.1,0.05,0.2,0.001
267,267,Kirde-Eesti,KIR,Kirde-Eesti,0.06,0.1,0.05,0.2,0.001
268,268,Kesk-Eesti,KES,Kesk-Eesti,0.06,0.1,0.05,0.2,0.001
269,269,Lääne-Eesti,LNE,Lääne-Eesti,0.06,0.1,0.05,0.2,0.001
270,270,Rīga,RGA,Rīga,0.06,0.1,0.06,0.2,0.001
271,271,Pierīga,PIR,Pierīga,0.06,0.1,0.06,0.2,0.001
272,272,Latgale,LAT,Latgale,0.06,0.1,0.06,0.2,0.001
273,273,Kurzeme,KUR,Kurzeme,0.06,0.1,0.06,0.2,0.001
274,274,Zemgale,ZEM,Zemgale,0.06,0.1,0.06,0.2,0.001
275,275,Vidzeme,VID,Vidzeme,0.06,0.1,0.06,0.2,0.001
276,276,Osrednjeslovenska,OSR,Osrednjeslovenska,0.06,0.1,0.045,0.2,0.001
277,277,Savinjska,SAV,Savinjska,0.06,0.1,0.045,0.2,0.001
278,278,Podravska,POD,Podravska,0.06,0.1,0.045,0.2,0.001
279,279,Gorenjska,GOR,Gorenjska,0.06,0.1,0.045,0.2,0.001
280,280,Jugovzhodna Slovenija,JUG,Jugovzhodna Slovenija,0.06,0.1,0.045,0.2,0.001
281,281,Goriška,GOI,Goriška,0.06,0.1,0.045,0.2,0.001
282,282,Obalno-kraška,OBA,Obalno-kraška,0.06,0.1,0.045,0.2,0.001
283,283,Pomurska,POU,Pomurska,0.06,0.1,0.045,0.2,0.001
284,284,Posavska,POS,Posavska,0.06,0.1,0.045,0.2,0.001
285,285,Koroška,KOR,Koroška,0.06,0.1,0.045,0.2,0.001
286,286,Zasavska,ZAS,Zasavska,0.06,0.1,0.045,0.2,0.001
287,287,Primorsko-notranjska,PRI,Primorsko-notranjska,0.06,0.1,0.045,0.2,0.001
288,288,Malta,MAT,Malta,0.06,0.1,0.035,0.2,0.001
289,289,Gozo and Comino,GOZ,Gozo and Comino,0.06,0.1,0.035,0.2,0.001
290,290,Höfuðborgarsvæði,HFU,Höfuðborgarsvæði,0.06,0.1,0.04,0.2,0.001
291,291,Landsbyggð,LAD,Landsbyggð,0.06,0.1,0.04,0.2,0.001
