60573004;Aortic valve stenosis (disorder);Severe aortic stenosis, valve replacement performed;I35.0;Aortic (valve) stenosis
401314000;Acute non-ST segment elevation myocardial infarction (disorder);NSTEMI, treated with PCI;I21.4;Acute subendocardial myocardial infarction
128613002;Seizure disorder;Seizure disorder, stabilised on medication;G40.9;Epilepsy, unspecified
86406008;Human immunodeficiency virus infection (disorder);HIV infection, antiretroviral therapy initiated;B20;Human immunodeficiency virus disease
91302008;Sepsis (disorder);Sepsis, treated with IV antibiotics;A41.9;Sepsis, unspecified
48333001;Burn injury (morphologic abnormality);Burn injury, wound care completed;T30.0;Burn of unspecified body region, unspecified degree
65966004;Fracture of forearm;Closed fracture of forearm, treated;S52.9;Fracture of forearm, part unspecified
126906006;Neoplasm of prostate;Malignant neoplasm of prostate, treated;C61;Malignant neoplasm of prostate
65363002;Otitis media;Acute otitis media, resolved;H66.9;Otitis media, unspecified
58150001;Fracture of clavicle;Fracture of clavicle, treated conservatively;S42.0;Fracture of clavicle
233604007;Pneumonia;Community-acquired pneumonia, resolved;J18.9;Pneumonia, unspecified
16114001;Fracture of ankle;Fracture of ankle, treated;S82.9;Fracture of lower leg, part unspecified
79586000;Tubal pregnancy;Ectopic tubal pregnancy, surgically treated;O00.1;Tubal pregnancy
60234000;Aortic valve regurgitation (disorder);Aortic regurgitation, managed medically;I35.1;Aortic (valve) insufficiency
87433001;Pulmonary emphysema (disorder);Pulmonary emphysema, exacerbation treated;J43.9;Emphysema, unspecified
185086009;Chronic obstructive bronchitis (disorder);COPD exacerbation, treated;J44.1;COPD with acute exacerbation
239872002;Osteoarthritis of hip;Osteoarthritis of hip, hip replacement performed;M16.9;Coxarthrosis, unspecified
94260004;Secondary malignant neoplasm of colon;Secondary malignant neoplasm of colon, treated;C78.5;Secondary malignant neoplasm of large intestine and rectum
128188000;Cerebral palsy (disorder);Cerebral palsy, managed;G80.9;Cerebral palsy, unspecified
230690007;Stroke;Ischaemic stroke, treated;I63.9;Cerebral infarction, unspecified
83664006;Idiopathic atrophic hypothyroidism;Hypothyroidism, treated;E03.9;Hypothyroidism, unspecified
90560007;Gout;Acute gout, treated;M10.9;Gout, unspecified
95417003;Primary fibromyalgia syndrome;Fibromyalgia, pain management initiated;M79.7;Fibromyalgia
33737001;Fracture of rib;Rib fracture, managed conservatively;S22.3;Fracture of ribs
359817006;Closed fracture of hip;Closed hip fracture, surgically treated;S72.0;Fracture of neck of femur
93761005;Primary malignant neoplasm of colon;Primary colon cancer, resection performed;C18.9;Malignant neoplasm of colon, unspecified
36923009;Major depression, single episode;Major depressive episode, treated;F32.9;Depressive episode, unspecified
190905008;Cystic Fibrosis;Cystic fibrosis with pulmonary exacerbation, treated;E84.0;Cystic fibrosis with pulmonary manifestations
6072007;Bleeding from anus;Rectal bleeding, cause identified and treated;K62.5;Haemorrhage of anus and rectum
609496007;Complication occuring during pregnancy;Obstetric complication, managed;O26.9;Pregnancy-related condition, unspecified
48724000;Mitral valve regurgitation (disorder);Mitral regurgitation, managed;I34.0;Mitral (valve) insufficiency
370143000;Major depression disorder;Recurrent major depressive disorder, treated;F33.9;Recurrent depressive disorder, unspecified
283545005;Gunshot wound (disorder);Gunshot wound, surgically treated;T14.1;Open wound of unspecified body region
5602001;Opioid abuse (disorder);Opioid use disorder, detoxification completed;F11.2;Mental and behavioural disorders due to opioid use – dependence syndrome
45816000;Pyelonephritis;Acute pyelonephritis, IV antibiotics completed;N10;Acute tubulo-interstitial nephritis
69896004;Rheumatoid arthritis;Rheumatoid arthritis, flare managed;M06.9;Rheumatoid arthritis, unspecified
65275009;Acute Cholecystitis;Acute cholecystitis, cholecystectomy performed;K81.0;Acute cholecystitis
200936003;Lupus erythematosus;Systemic lupus erythematosus, flare treated;M32.9;Systemic lupus erythematosus, unspecified
65710008;Acute respiratory failure (disorder);Acute respiratory failure, ventilatory support completed;J96.0;Acute respiratory failure
448813005;Sepsis caused by Staphylococcus aureus;Staphylococcal sepsis, IV antibiotics completed;A41.0;Sepsis due to Staphylococcus aureus
91861009;Acute myeloid leukemia disease (disorder);Acute myeloid leukaemia, chemotherapy initiated;C91.0;Acute lymphoblastic leukaemia
410429000;Cardiac arrest (disorder);Cardiac arrest, resuscitated and stabilised;I46.9;Cardiac arrest, cause unspecified
91302008;Sepsis (disorder);Sepsis due to Staphylococcus aureus, treated;A41.0;Sepsis due to Staphylococcus aureus
44301001;Suicide;Attempted suicide, medically stabilised and psychiatric review;X84;Intentional self-harm by unspecified means
86849004;Suicidal deliberate poisoning;Deliberate self-poisoning, medically stabilised;X69;Intentional self-poisoning by other and unspecified chemicals
287182007;Attempted suicide - suffocation;Attempted suicide by suffocation, stabilised;X70;Intentional self-harm by hanging, strangulation and suffocation
287185009;Attempted suicide - cut/stab;Attempted suicide by cutting, wound treated;X78;Intentional self-harm by sharp object
6525002;Dependent drug abuse (disorder);Substance dependence, treated and stabilised;F19.2;Mental and behavioural disorders due to multiple drug use – dependence syndrome
271737000;Anemia (disorder);Anaemia, cause investigated and treated;D64.9;Anaemia, unspecified
74400008;Appendicitis (disorder);Acute appendicitis, appendectomy performed;K37;Unspecified appendicitis
7200002;Alcoholism (disorder);Alcohol dependence syndrome, detoxification completed;F10.2;Mental and behavioural disorders due to alcohol – dependence syndrome
198992004;Eclampsia in pregnancy (disorder);Eclampsia in pregnancy, managed and delivered;O15.0;Eclampsia in pregnancy
19169002;Miscarriage in first trimester (disorder);Incomplete miscarriage, surgically managed;O03.4;Incomplete spontaneous abortion without complication
239872002;Osteoarthritis of hip (disorder);Osteoarthritis of hip, total hip replacement performed;M16.9;Coxarthrosis, unspecified
398254007;Pre-eclampsia (disorder);Pre-eclampsia, managed and stabilised;O14.9;Pre-eclampsia, unspecified
19943007;Cirrhosis of liver (disorder);Liver cirrhosis with decompensation, managed;K74.6;Other and unspecified cirrhosis of liver
78275009;Obstructive sleep apnea syndrome (disorder);Obstructive sleep apnoea, CPAP initiated;G47.33;Obstructive sleep apnea
22298006;Myocardial infarction (disorder);Acute myocardial infarction, treated with PCI;I21.9;Acute myocardial infarction, unspecified
401314000;Acute non-ST segment elevation myocardial infarction (disorder);NSTEMI, treated with PCI;I21.4;Acute subendocardial myocardial infarction
49436004;Atrial fibrillation (disorder);Atrial fibrillation, rate controlled and anticoagulated;I48.9;Atrial fibrillation and flutter, unspecified
414545008;Ischemic heart disease (disorder);Ischemic heart disease, coronary intervention performed;I25.9;Chronic ischaemic heart disease, unspecified
274531002;Abnormal findings diagnostic imaging heart+coronary circulation (finding);Coronary artery disease confirmed, management plan established;R93.1;Abnormal findings on diagnostic imaging of heart and coronary circulation
79586000;Tubal pregnancy (disorder);Ectopic tubal pregnancy, surgically treated;O00.1;Tubal pregnancy
422504002;Ischemic stroke (disorder);Ischaemic stroke, thrombolysis performed, rehabilitation initiated;I63.9;Cerebral infarction, unspecified
254837009;Malignant neoplasm of breast (disorder);Breast cancer, surgical resection performed, oncology plan established;C50.9;Malignant neoplasm of breast, unspecified
698306007;Awaiting transplantation of kidney (situation);Pre-renal transplant workup completed, patient listed;Z49.0;Preparatory care for dialysis
401303003;Acute ST segment elevation myocardial infarction (disorder);STEMI, treated with primary PCI;I21.0;Acute transmural myocardial infarction of anterior wall
45816000;Pyelonephritis (disorder);Acute pyelonephritis, IV antibiotics completed;N10;Acute tubulo-interstitial nephritis
128613002;Seizure disorder (disorder);Seizure disorder, stabilised on anti-epileptic medication;G40.9;Epilepsy, unspecified
84757009;Epilepsy (disorder);Epilepsy, seizure managed and medication optimised;G40.9;Epilepsy, unspecified
203646004;Adolescent idiopathic scoliosis (disorder);Adolescent idiopathic scoliosis, surgical correction performed;M41.1;Juvenile idiopathic scoliosis
44054006;Diabetes mellitus type 2 (disorder);Type 2 diabetes mellitus, glycaemic control optimised;E11.9;Type 2 diabetes mellitus without complications
69896004;Rheumatoid arthritis (disorder);Rheumatoid arthritis flare, managed with biologics;M06.9;Rheumatoid arthritis, unspecified
13645005;Chronic obstructive lung disease (disorder);COPD exacerbation, treated with bronchodilators and steroids;J44.1;COPD with acute exacerbation
88805009;Chronic congestive heart failure (disorder);Decompensated heart failure, diuresis and optimisation performed;I50.0;Congestive heart failure
65275009;Acute cholecystitis (disorder);Acute cholecystitis, laparoscopic cholecystectomy performed;K81.0;Acute cholecystitis
235919008;Gallbladder calculus (disorder);Cholelithiasis, laparoscopic cholecystectomy performed;K80.2;Calculus of gallbladder without cholecystitis
239873007;Osteoarthritis of knee (disorder);Osteoarthritis of knee, total knee replacement performed;M17.9;Gonarthrosis, unspecified
85116003;Miscarriage in second trimester (disorder);Second trimester miscarriage, surgically managed;O03.4;Incomplete spontaneous abortion without complication
399261000;History of coronary artery bypass grafting (situation);Post-CABG follow-up, cardiac status reviewed and stable;Z95.1;Presence of aortocoronary bypass graft
64859006;Osteoporosis (disorder);Osteoporosis with pathological fracture, managed;M81.9;Osteoporosis, unspecified
26929004;Alzheimer's disease (disorder);Alzheimer's disease with behavioural disturbance, managed;G30.9;Alzheimer's disease, unspecified
91302008;Sepsis (disorder);Sepsis, IV antibiotics completed and source controlled;A41.9;Sepsis, unspecified
230690007;Cerebrovascular accident (disorder);Stroke, treated and rehabilitation initiated;I64;Stroke, not specified as haemorrhage or infarction
197456007;Alcoholic chronic pancreatitis (disorder);Alcoholic chronic pancreatitis, pain management and nutrition optimised;K86.0;Alcohol-induced chronic pancreatitis
4557003;Preinfarction syndrome (disorder);Unstable angina, medically stabilised and coronary intervention performed;I20.0;Unstable angina
60234000;Aortic valve regurgitation (disorder);Aortic regurgitation, managed medically or surgically;I35.1;Aortic (valve) insufficiency
76571007;Septic shock (disorder);Septic shock, intensive care management completed;A41.9;Sepsis, unspecified
79619009;Mitral valve stenosis (disorder);Mitral stenosis, valvuloplasty or valve replacement performed;I05.0;Mitral stenosis
433144002;Chronic kidney disease stage 3 (disorder);CKD stage 3, nephrology management and optimisation;N18.3;Chronic kidney disease, stage 3
609496007;Complication occurring during pregnancy (disorder);Obstetric complication, managed;O26.9;Pregnancy-related condition, unspecified
111287006;Tricuspid valve regurgitation (disorder);Tricuspid regurgitation, managed medically;I07.1;Tricuspid insufficiency
91861009;Acute myeloid leukemia (disorder);Acute myeloid leukaemia, induction chemotherapy initiated;C92.0;Acute myeloid leukaemia
47318007;Drug-induced neutropenia (disorder);Drug-induced neutropenia, causative agent withdrawn and G-CSF administered;D70.2;Other drug-induced agranulocytosis
126906006;Neoplasm of prostate (disorder);Malignant neoplasm of prostate, surgical or radiation treatment initiated;C61;Malignant neoplasm of prostate
233604007;Pneumonia (disorder);Community-acquired pneumonia, IV antibiotics completed;J18.9;Pneumonia, unspecified
65710008;Acute respiratory failure (disorder);Acute respiratory failure, ventilatory support completed;J96.0;Acute respiratory failure
706870000;Acute pulmonary embolism (disorder);Acute pulmonary embolism, anticoagulation initiated;I26.9;Pulmonary embolism without mention of acute cor pulmonale
5602001;Opioid abuse;Opioid use disorder, detoxification completed;F11.2;Mental and behavioural disorders due to opioid use – dependence syndrome
254502007;Malignant neoplasm of rectum (disorder);Rectal cancer, surgical resection performed, oncology plan established;C20;Malignant neoplasm of rectum
109989006;Multiple myeloma (disorder);Multiple myeloma, chemotherapy initiated;C90.0;Multiple myeloma
409089005;Febrile neutropenia (disorder);Febrile neutropenia, IV antibiotics and G-CSF completed;D70.1;Agranulocytosis secondary to cancer chemotherapy
157265008;Dislocation of hip joint (disorder);Hip dislocation, closed reduction performed under anaesthesia;S73.0;Dislocation of hip
414667000;Meningomyelocele (disorder);Meningomyelocele, surgical repair performed and neurological status assessed;Q05.9;Spina bifida, unspecified
132281000119108;Acute deep venous thrombosis (disorder);Acute DVT, anticoagulation initiated;I80.2;Phlebitis and thrombophlebitis of other deep vessels of lower extremities
67782005;Acute respiratory distress syndrome (disorder);ARDS, mechanical ventilation and supportive care completed;J80;Acute respiratory distress syndrome
200936003;Lupus erythematosus (disorder);Systemic lupus erythematosus flare, immunosuppressive therapy initiated;M32.9;Systemic lupus erythematosus, unspecified
230265002;Familial Alzheimer's disease of early onset (disorder);Early-onset familial Alzheimer's disease, management plan established;G30.0;Alzheimer's disease with early onset
60573004;Aortic valve stenosis (disorder);Severe aortic stenosis, TAVI or surgical valve replacement performed;I35.0;Aortic (valve) stenosis
84114007;Heart failure (disorder);Acute heart failure, diuresis and optimisation performed;I50.9;Heart failure, unspecified
129721000119106;Acute renal failure on dialysis (disorder);Acute renal failure, dialysis initiated and renal function monitored;N17.9;Acute renal failure, unspecified
698303004;Awaiting transplantation of bone marrow (situation);Pre-bone marrow transplant workup completed, patient listed;Z49.8;Other specified preparatory care for subsequent treatment
363406005;Malignant neoplasm of colon (disorder);Colon cancer, surgical resection performed, oncology plan established;C18.9;Malignant neoplasm of colon, unspecified
48724000;Mitral valve regurgitation (disorder);Mitral regurgitation, managed medically or surgically;I34.0;Mitral (valve) insufficiency
312157006;Infectious mediastinitis (disorder);Infectious mediastinitis, surgical drainage and IV antibiotics completed;J98.5;Diseases of mediastinum
128188000;Cerebral palsy (disorder);Cerebral palsy, spasticity managed and rehabilitation initiated;G80.9;Cerebral palsy, unspecified
47693006;Rupture of appendix (disorder);Perforated appendicitis, emergency appendectomy and washout performed;K35.2;Acute appendicitis with generalised peritonitis
93761005;Malignant neoplasm of sigmoid colon (disorder);Sigmoid colon cancer, surgical resection performed, oncology plan established;C18.7;Malignant neoplasm of sigmoid colon
213150003;Kidney transplant failure and rejection (disorder);Renal transplant rejection, immunosuppressive therapy adjusted;T86.1;Kidney transplant failure and rejection
